TimeStamp,PodName,ContainerName,CPUsUsage(M),MemoryUsage(Ki)
1705103087.759935,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103087.7599363,hydraa-pod-000004,ctask-3,250709530n,6136Ki
1705103088.780215,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103088.7802167,hydraa-pod-000004,ctask-3,250709530n,6136Ki
1705103089.794574,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103089.7945762,hydraa-pod-000004,ctask-3,250709530n,6136Ki
1705103090.8151739,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103090.8151793,hydraa-pod-000004,ctask-3,250709530n,6136Ki
1705103091.829732,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103091.8297334,hydraa-pod-000004,ctask-3,250709530n,6136Ki
1705103092.8447483,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103092.8447502,hydraa-pod-000004,ctask-3,250709530n,6136Ki
1705103093.8622928,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103093.8622942,hydraa-pod-000004,ctask-3,250709530n,6136Ki
1705103094.8827353,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103094.8827367,hydraa-pod-000004,ctask-3,250709530n,6136Ki
1705103095.8959124,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103095.8959143,hydraa-pod-000004,ctask-3,250709530n,6136Ki
1705103096.9191394,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103096.9191413,hydraa-pod-000004,ctask-3,250709530n,6136Ki
1705103097.9336412,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103097.933644,hydraa-pod-000004,ctask-3,250709530n,6136Ki
1705103098.9519455,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103098.9519472,hydraa-pod-000004,ctask-3,250709530n,6136Ki
1705103099.968044,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103099.9680464,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103100.983253,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103100.9832554,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103101.9985178,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103101.99852,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103103.0133874,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103103.0133896,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103104.0283415,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103104.0283427,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103105.0483036,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103105.0483057,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103106.0693755,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103106.0693774,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103107.0879443,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103107.0879464,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103108.1038039,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103108.103806,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103109.119053,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103109.1190543,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103110.1352935,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103110.1352954,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103111.1521764,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103111.1521783,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103112.1681142,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103112.1681478,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103113.1824172,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103113.1824186,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103114.198014,hydraa-pod-000003,ctask-2,250290186n,6148Ki
1705103114.198016,hydraa-pod-000004,ctask-3,250028976n,6136Ki
1705103115.2150595,hydraa-pod-000003,ctask-2,249946555n,6148Ki
1705103115.2150607,hydraa-pod-000004,ctask-3,249932452n,6136Ki
1705103116.241981,hydraa-pod-000003,ctask-2,249946555n,6148Ki
1705103116.2419834,hydraa-pod-000004,ctask-3,249932452n,6136Ki
1705103117.256841,hydraa-pod-000003,ctask-2,249946555n,6148Ki
1705103117.256843,hydraa-pod-000004,ctask-3,249932452n,6136Ki
1705103118.2741497,hydraa-pod-000003,ctask-2,249946555n,6148Ki
1705103118.2741516,hydraa-pod-000004,ctask-3,249932452n,6136Ki
